gen island best mean std
0 0 66.225448 -0.006015 13.25095
0 1 66.16227 1.053207 14.747165
0 2 21.752976 -2.460449 6.794556
0 3 57.191858 0.463544 14.322968
0 4 21.752976 -3.399232 6.540002
1 0 66.225448 11.006287 26.272423
1 1 66.16227 12.891255 27.362156
1 2 66.094638 11.259083 22.201356
1 3 57.286267 14.848141 24.421286
1 4 66.752976 3.230624 15.577196
2 0 66.601837 19.315695 29.39934
2 1 66.319827 17.986636 29.225258
2 2 57.286267 18.167889 23.775137
2 3 57.286267 19.910296 26.388383
2 4 66.601837 12.038719 22.080643
3 0 87.998585 30.011099 31.337695
3 1 75.091917 35.029698 31.206214
3 2 57.732142 31.129941 25.0511
3 3 57.296218 34.965742 21.226994
3 4 66.601837 28.159992 23.557691
4 0 75.091917 32.890719 28.998701
4 1 75.091917 45.16508 25.642127
4 2 66.091917 33.244073 25.258018
4 3 66.601837 43.435252 22.578593
4 4 87.998585 35.802014 27.682982
5 0 75.091917 43.117784 27.968583
5 1 75.091917 41.248113 29.78612
5 2 75.051965 43.813999 21.609891
5 3 66.711733 32.381119 21.135065
5 4 87.998585 34.919457 29.468957
6 0 75.091917 33.01388 31.758105
6 1 75.091917 46.837732 25.775932
6 2 75.091917 43.682249 24.80783
6 3 66.716796 31.790674 19.71627
6 4 87.998585 40.385887 28.273754
7 0 75.091917 42.170515 27.736577
7 1 75.091917 51.784927 25.10301
7 2 75.091917 46.107403 21.183444
7 3 94.023266 36.096064 21.373093
7 4 87.998585 51.831067 24.069466
8 0 75.091917 38.188353 29.606566
8 1 75.091917 37.28494 29.341247
8 2 94.023266 47.097712 23.08254
8 3 87.998585 36.307244 22.670211
8 4 87.998585 52.745977 22.078486
9 0 75.091917 39.943214 29.754563
9 1 75.091917 39.743037 27.661886
9 2 94.023266 42.352849 25.781295
9 3 87.998585 35.152263 28.11578
9 4 87.998585 35.092719 32.853845
10 0 75.091917 43.728747 25.366159
10 1 75.091917 46.448114 26.357169
10 2 94.023266 38.915239 26.580642
10 3 87.998585 47.016986 26.086065
10 4 87.998585 43.153357 28.348917
11 0 75.091917 55.116785 23.308772
11 1 75.091917 56.491142 22.123269
11 2 94.023266 43.346416 26.537665
11 3 87.998585 44.967229 27.595257
11 4 87.998585 42.289326 27.351662
12 0 75.091917 41.670938 29.951143
12 1 94.023266 40.806925 32.812835
12 2 94.023266 37.478198 29.756242
12 3 87.998585 26.319672 28.669563
12 4 75.716796 49.087051 23.372249
13 0 75.091917 41.993332 28.425262
13 1 94.023266 43.329584 24.521357
